,title,d23_link,summary
45,Aladdin,a-to-z/aladdin-live-action-film/,"A live-action adaptation of Disney's animated classic. The streets of Agrabah are home to Aladdin, a charming street rat who is eager to leave his life of petty thievery behind, believing he is destined for greater things. Across town, the Sultan's daughter, Princess Jasmine, longs to experience life beyond the palace walls and use her title to better serve the people of Agrabah. After Aladdin accidentally conjures up the Genie, he and Jasmine embark on a dangerous and exciting adventure that will test their faith in themselves and their love for one another. Directed by Guy Ritchie. Released May 24, 2019, also in 3D and IMAX 3D, after a May 22 release in Belgium, the Philippines, and other countries. Stars Will Smith (Genie/Mariner), Mena Massoud (Aladdin), Naomi Scott (Jasmine), Marwan Kenzari (Jafar), Navid Negahban (Sultan), Nasim Pedrad (Dalia), Billy Magnussen (Prince Anders), Numan Acar (Hakim). 128 min. Includes contemporary new recordings of the original songs from the 1992 animated feature, with two more added-a new version of ""Arabian Nights"" and ""Speechless""-written by the original composer, Alan Menken, and songwriters Benj Pasek and Justin Paul. Aladdin's sidekick, Abu, while entirely digital, was based on a Capuchin monkey. Filmed in widescreen format at Longcross Studios and Arborfield Studios in the U.K. and on location in Jordan."
46,Aladdin and the King of Thieves,a-to-z/aladdin-and-the-king-of-thieves-film/,"Animated motion picture released exclusively on video on August 13, 1996. The wedding of the century turns into a great adventure, as the legendary Forty Thieves spoil the party in their search for the mysterious Hand of Midas-a magic treasure that turns all things to gold. Aladdin soon learns that his long-lost father is still alive and the quest to find him leads directly to the secret den of the King of Thieves. This is the second made-for-video sequel to Aladdin, following The Return of Jafar A major new character is added to the story, Cassim, Aladdin's father. Directed by Tad Stones. Voices, many returning from the original cast, include Val Bettin, Jim Cummings, Gilbert Gottfried, Linda Larkin, Jerry Orbach (Sa'luk), John Rhys-Davies (Cassim), Scott Weinger, Frank Welker, and Robin Williams."
47,"Alamo, The",a-to-z/alamo-the-film/,"An epic retelling of the 1836 battle in San Antonio de Bexar where less than 200 men, led by James Bowie, Lt. Col. William B. Travis, and the legendary Davy Crockett, try to hold the small, ruined mission, the Alamo, against the much larger forces of Mexican general Antonio Lopez de Santa Anna. The Texans and their deeds would pass into history as General Sam Houston's rallying cry for Texas independence and into legend for their symbolic significance. Released on April 9, 2004, after a March 27 world premiere in San Antonio. Directed by John Lee Hancock. A Touchstone Picture. Stars Dennis Quaid (Sam Houston), Billy Bob Thornton (Davy Crockett), Jason Patric (Jim Bowie), Patrick Wilson (Col. William B. Travis), Jordi Molla (Juan Seguin), Emilio Echevarria (Santa Anna). 137 min. Filmed in Cinemascope on location in Texas, with a 45-acre set of the Alamo and its courtyard built on a private ranch west of Austin. With 70 structures on 51 acres, it was the largest free-standing set ever built in North America. Released on video in 2004."
48,"Alan Smithee Film, An: Burn Hollywood Burn",a-to-z/alan-smithee-film-an-burn-hollywood-burn-film/,"This satirical story of the behind-the-scenes intrigue of a big budget action/adventure Hollywood film reveals director Alan Smithee's bizarre odyssey through a series of interviews with real celebrities and fictional characters. The machinations and agendas of everyone and anyone in filmmaking-from the producer to the makeup artists-are revealed. Smithee makes his directorial debut on the biggest budget action film in Hollywood history, but when he becomes distraught over choices forced upon him by his producer, he takes the master negative hostage. A Hollywood Picture in association with Cinergi. Released on February 27, 1998. Directed by Alan Smithee. Stars Ryan O'Neal (James Edmunds), Coolio (Dion Brothers), Chuck D. (Leon Brothers), Richard Jeni (Jerry Glover), Eric Idle (Alan Smithee), and special appearances by Sylvester Stallone, Whoopi Goldberg, Jackie Chan. The screenplay is by Joe Eszterhas. ""Alan Smithee"" is a name that has historically been applied to Hollywood films when the director has asked to have his name removed. 86 min."
49,Alaska's Bush Pilot Heritage,a-to-z/alaskas-bush-pilot-heritage-film/,"16mm release in June 1973, of television film. The story of the special breed of pilot who has challenged the perilous Alaskan landscape."
50,"Alaskan Eskimo, The",a-to-z/alaskan-eskimo-the-film/,"People and Places featurette, released on February 18, 1953. Directed by James Algar. 27 min. Utilized footage shot in Alaska by the team of Alfred and Elma Milotte, depicting the everyday home life of the families in a typical Eskimo village. The building and hunting activities of the summer, the winter activities underground when the blizzards come, and the celebration of spring with the ""mask dance"" are all shown. Walt Disney originally sent the Milottes to Alaska to film anything they found of interest, but when he selected their footage of the seals (for Seal Island) and wanted to present it with no indication of man's presence, there was no use for the rest of their film. So, some of the footage detailing the everyday home life of Eskimos in a typical village was edited together to become this first People and Places featurette, the forerunner of a number of such travelogues. The project was as successful as Seal Island had been, for The Alaskan Eskimo also won an Academy Award."
51,"Alaskan Gold Rush, The",a-to-z/alaskan-gold-rush-the-film/,"16mm release in June 1973, of television film from A Salute to Alaska. Historical photos in a family album tell the story of the hardy pioneers in the Alaskan gold rush."
52,Alaskan Sled Dog,a-to-z/alaskan-sled-dog-film/,"Featurette, released on July 3, 1957. Directed by Ben Sharpsteen. Filmed in CinemaScope. 18 min. The story of an Eskimo father and son who train and groom a sled dog team. When the father is lost on an ice floe, the son takes the unproven team on the search, and succeeds in finding his father."
53,Alcoholism: Who Gets Hurt?,a-to-z/alcoholism-who-gets-hurt-film/,"Educational film using sequences from Follow Me, Boys! in the Questions!/Answers? series, released in October 1975. Shows a youngster's dilemma in dealing with the problem of an alcoholic parent."
54,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",a-to-z/alexander-and-the-terrible-horrible-no-good-very-bad-day-film/,"11-year-old Alexander experiences the most terrible and horrible day of his young life-a day that begins with gum stuck in his hair, followed by one calamity after another. But when Alexander tells his upbeat family about the misadventures of his disastrous day, he finds little sympathy and begins to wonder if bad things only happen to him. He soon learns that he is not alone when his mom, dad, brother, and sister all find themselves living through their own terrible, horrible, no good, very bad day. Directed by Miguel Arteta. Released on October 10, 2014. Stars Ed Oxenbould (Alexander), Jennifer Garner (Kelly), Steve Carell (Ben), Dylan Minette (Anthony), Kerris Dorsey (Emily). 81 min. Filmed in widescreen format. From the 1972 book by Judith Viorst."
55,Alice and the Dog Catcher,a-to-z/alice-and-the-dog-catcher-film/,"Alice Comedy, released on July 1, 1924."
56,Alice and the Three Bears,a-to-z/alice-and-the-three-bears-film/,"Alice Comedy, released on December 1, 1924."
57,Alice at the Carnival,a-to-z/alice-at-the-carnival-film/,"Alice Comedy, released on February 7, 1927."
58,Alice Cans the Cannibals,a-to-z/alice-cans-the-cannibals-film/,"Alice Comedy, released on January 1, 1925."
59,Alice Charms the Fish,a-to-z/alice-charms-the-fish-film/,"Alice Comedy, released on September 6, 1926."
60,Alice Chops the Suey,a-to-z/alice-chops-the-suey-film/,"Alice Comedy, released in 1925."
61,Alice Cuts the Ice,a-to-z/alice-cuts-the-ice-film/,"Alice Comedy, released on November 1, 1926."
62,Alice Foils the Pirates,a-to-z/alice-foils-the-pirates-film/,"Alice Comedy, released on January 24, 1927."
63,Alice Gets in Dutch,a-to-z/alice-gets-in-dutch-film/,"Alice Comedy, released on November 1, 1924."
64,Alice Gets Stung,a-to-z/alice-gets-stung-film/,"Alice Comedy, released on February 1, 1925."
65,Alice Helps the Romance,a-to-z/alice-helps-the-romance-film/,"Alice Comedy, released on November 15, 1926."
66,Alice Hunting in Africa,a-to-z/alice-hunting-in-africa-film/,"Alice Comedy, released on November 15, 1924."
67,Alice in the Alps,a-to-z/alice-in-the-alps-film/,"Alice Comedy, released on March 21, 1927."
68,Alice in the Big League,a-to-z/alice-in-the-big-league-film/,"Alice Comedy, released on August 22, 1927."
69,Alice in the Jungle,a-to-z/alice-in-the-jungle-film/,"Alice Comedy, released on December 15, 1925."
70,Alice in the Klondike,a-to-z/alice-in-the-klondike-film/,"Alice Comedy, released on June 27, 1927."
71,Alice in the Wooly West,a-to-z/alice-in-the-wooly-west-film/,"Alice Comedy, released on October 4, 1926."
72,Alice in Wonderland,a-to-z/alice-in-wonderland-film-2/,"19-year-old Alice, trying to escape from an unwanted marriage proposal, falls down a hole and returns to the whimsical world she first encountered as a young girl. She has no memory of her previous visit, and her childhood friends the Mad Hatter, the White Rabbit, Tweedledee and Tweedledum, the March Hare, the Dormouse, the Caterpillar, and the Cheshire Cat wonder if she is the right Alice. She embarks on a fantastical journey through what she is told is really called Underland to find her true destiny, as predicted in a magical scroll, and end the Red Queen's reign of terror. Directed by Tim Burton. Released on March 5, 2010, in regular, 3D and Imax versions, after a February 25, 2010, Royal World Premiere in London. Stars Mia Wasikowska (Alice), Johnny Depp (Mad Hatter), Helena Bonham Carter (Iracebeth, the Red Queen), Anne Hathaway (White Queen), Crispin Glover (The Knave of Hearts), Matt Lucas (Tweedledee and Tweedledum), Leo Bill (Hamish), with the voices of Alan Rickman (Absolem, the Blue Caterpillar), Stephen Fry (Cheshire Cat), Michael Sheen (The White Rabbit), Timothy Spall (Bayard), Christopher Lee (Jabberwocky), Paul Whitehouse (March Hare), Barbara Windsor (Dormouse). 109 min. Based on the books by Lewis Carroll. Tim Burton and Johnny Depp had earlier collaborated on Ed Wood for Disney. Danny Elfman composed the score. The film won two Academy Awards, for Art Direction and for Costume Design."
